2026-02-15 23:04:45,609 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=2856)
2026-02-15 23:06:57,035 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=47579)
2026-02-15 23:06:58,901 | WARNING | main | WebSocket disconnected: Address(host='127.0.0.1', port=47579). The data is not in bytes format.
2026-02-15 23:11:21,299 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=50973)
2026-02-15 23:11:21,434 | ERROR | handlers | No handler for event type: AUDIO_FRAME
2026-02-15 23:16:09,642 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=30944)
2026-02-15 23:16:11,234 | ERROR | handlers | No handler for event type: AUDIO_FRAME
2026-02-15 23:16:11,235 | WARNING | main | Failed to handle event: AUDIO_FRAME
2026-02-15 23:16:14,707 | ERROR | handlers | No handler for event type: AUDIO_FRAME
2026-02-15 23:16:14,708 | WARNING | main | Failed to handle event: AUDIO_FRAME
2026-02-15 23:31:09,309 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=51453)
2026-02-15 23:31:11,296 | ERROR | handlers | No handler for event type: AUDIO_FRAME
2026-02-15 23:31:11,297 | WARNING | main | Failed to handle event: AUDIO_FRAME
2026-02-15 23:34:59,588 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=4544)
2026-02-15 23:35:03,005 | ERROR | handlers | No handler for event type: OMIT
2026-02-15 23:35:03,006 | WARNING | main | Failed to handle event: OMIT
2026-02-15 23:35:04,174 | ERROR | handlers | No handler for event type: OMIT
2026-02-15 23:35:04,175 | WARNING | main | Failed to handle event: OMIT
2026-02-15 23:35:08,813 | ERROR | handlers | No handler for event type: META_DATA
2026-02-15 23:35:08,815 | WARNING | main | Failed to handle event: META_DATA
2026-02-15 23:35:12,712 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:35:12,713 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:35:14,338 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:35:14,339 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:36:38,209 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=48395)
2026-02-15 23:36:38,811 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:36:38,812 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:31,185 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=35245)
2026-02-15 23:37:31,716 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:31,717 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:32,778 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:32,779 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:32,993 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:32,994 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:33,165 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:33,166 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:33,327 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:33,328 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:33,500 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:33,502 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:33,675 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:33,676 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:34,179 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:34,181 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:37:34,364 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:37:34,365 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:40:54,290 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=48084)
2026-02-15 23:40:54,449 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:40:54,451 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:40:57,132 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:40:57,134 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:40:57,977 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:40:57,978 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:42:10,480 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=13967)
2026-02-15 23:42:10,650 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:42:10,652 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:44:34,027 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=28804)
2026-02-15 23:44:34,188 | DEBUG | main | Received event: HEARTBEAT
2026-02-15 23:44:34,189 | DEBUG | handlers | Current handlers: []
2026-02-15 23:44:34,191 | ERROR | handlers | No handler for event type: HEARTBEAT
2026-02-15 23:44:34,192 | WARNING | main | Failed to handle event: HEARTBEAT
2026-02-15 23:46:10,194 | INFO | main | WebSocket connected: Address(host='127.0.0.1', port=38848)
2026-02-15 23:46:10,351 | DEBUG | main | Received event: HEARTBEAT
2026-02-15 23:46:10,352 | DEBUG | handlers | Current handlers: ['HEARTBEAT']
